Topic_ID,Macro_Legal_Domain,Document_Count,Corpus_Pct,Top_Salient_Keywords,Representative_Statutes
0,Education & Academic Institutions,3492,13.73%,"high school, school the, barangay, school and, elementary school, appropriating, appropriating funds, and appropriating","[REPUBLIC ACT No. 9453 May 15, 2007] AN ACT CHANGING THE NAME OF POTIA NATIONAL HIGH SCHOOL ... | [REPUBLIC ACT No. 10750] AN ACT CHANGING THE NAME OF MAHINOG NATIONAL HIGH SCHOO... | [REPUBLIC ACT No. 10439] AN ACT CHANGING THE NAME OF CANUMAY NATIONAL HIGH SCHOO..."
1,Executive Issuances & Policy Reorganization,12210,48.01%,"executive dated, commission that, the islands, committee, code, foreign, functions, prices","[EXECUTIVE ORDER No. 721-A, November 03, 2008] AMENDING EXECUTIVE ORDER NO. 721 ENTITLED ENCOURAGING L... | [PRESIDENTIAL DECREE No. 911 March 23, 1976] M a n i l a... | [PRESIDENTIAL DECREE No. 1304 February 24, 1978] AMENDING SECTION 2 OF PRESIDENTIAL DECREE NO. 967..."
2,Local Government & Territorial Boundaries,2134,8.39%,"sitios, thence, the barrios, the sitio, barangay, the sitios, sitio, revised administrative",[REPUBLIC ACT No. 2601] An Act Creating Barrios in Certain Municipalities of th... | [REPUBLIC ACT No. 2485] An Act Creating the Barrio of San Vicente in the Munici... | [REPUBLIC ACT No. 2538] An Act Creating Certain Barrios in the Municipality of ...
3,Public Finance & General Appropriations,1335,5.25%,"appropriated, the sum, treasury not, not appropriated, out funds, appropriated out, the insular, insular treasury","[Act No. 2637, February 24, 1916] AN ACT APPROPRIATING THE SUM OF TEN THOUSAND PESOS FOR ... | [Act No. 2225, February 06, 1913] AN ACT APPROPRIATING FUNDS FOR THE PHILIPPINE EXPOSITIO... | [REPUBLIC ACT No. 198] AN ACT APPROPRIATING THE SUM OF ONE HUNDRED THOUSAND PE..."
4,"Public Health, Hospitals & Medical Services",1890,7.43%,"hospital, hospital the, bed, bed capacity, emergency hospital, appropriating, appropriating funds, and appropriating","[REPUBLIC ACT NO. 11558, June 24, 2021] AN ACT ESTABLISHING A GENERAL HOSPITAL IN THE MUNICIPAL... | [REPUBLIC ACT NO. 6349, June 19, 1971] AN ACT PROVIDING FOR THE ESTABLISHMENT OF A HOSPITAL IN... | [REPUBLIC ACT No. 8054, June 15, 1995] AN ACT ESTABLISHING A TWENTY-FIVE-BED CAPACITY DISTRICT..."
5,Public Utilities & Telecommunications Franchises,2041,8.03%,"franchise, franchise construct, radio, construct, there granted, install, broadcasting, stations","[REPUBLIC ACT No. 8153, September 23, 1995] AN ACT GRANTING THE REX ELECTRONICS COMMUNICATIONS SYST... | [REPUBLIC ACT No. 3218] An Act Granting Batas Riego De Dios a Franchise to Cons... | [REPUBLIC ACT No. 8107, July 09, 1995] AN ACT GRANTING THE BYERS COMMUNICATIONS, INC., A FRANC..."
6,Statutory Codes & General Legal Amendments,1873,7.36%,"administrative code, code, code amended, the administrative, eleven, seven and, twenty seven, follows amend","[Act No. 3538, November 13, 1929] AN ACT TO AMEND SECTION SEVEN HUNDRED AND NINETY-EIGHT ... | [Act No. 3476, December 07, 1928] AN ACT TO AMEND SECTIONS TWO THOUSAND AND SEVENTY-SIX A... | [Act No. 3583, November 27, 1929] AN ACT TO AMEND SECTION ELEVEN HUNDRED NINETY-EIGHT, TW..."
7,"Taxation, Tariffs & Revenue Administration",457,1.8%,"tariff, and customs, tariff and, the tariff, customs, the rates, code, rates","[EXECUTIVE ORDER NO. 52, November 03, 2001] MANILA... | [EXECUTIVE ORDER NO. 295, March 03, 2004] MANILA... | [EXECUTIVE ORDER NO. 336, July 23, 2004] MANILA..."
